HOSTNAME,SOURCE_SITE,SOURCE_DEVICE_TYPE,SOURCE_REGION,SOURCE_INTERFACE_ID,SLOT,TYPE,SOURCE_BUNDLE_INTERFACE,SOURCE_IPV4_ADDRESS,SOURCE_IPV6_ADDRESS,SEGMENT,TARGET_SITE,TARGET_DEVICE_TYPE,TARGET_HOSTNAME,TARGET_REGION,TARGET_INTERFACE_ID,,TARGET_BUNDLE_INTERFACE,TARGET_IPV4_ADDRESS,TARGET_IPV6_ADDRESS,ISIS_AREA,CHANGE ISIS,IS_BACK_TO_BACK_LINK,VIA_LOT_1,IS_VIA_ACI,IS_IOSXRV,IS_INFRA,IS_INTERCONNECT,ER4L,REMARKS,,,,,,,,
SPC00E67CIBP001,PLDT Sampaloc,P-1,GMM,0/0/0/0,,,Bundle-Ether31,10.205.192.2/30,2405:B800:1::1/127,PLDT Sampaloc P1 PLDT Jupiter P1,PLDT Jupiter,P-1,MKTG3610CIBP001,GMM,0/0/0/0,,Bundle-Ether31,10.205.192.1/30,2405:B800:1::/127,1000,,,YES,,,YES,,,NCS4K,PHASE 1,,,,,,,
SPC00E67CIBP001,PLDT Sampaloc,P-1,GMM,0/0/0/35,,,Bundle-Ether32,10.205.192.17/30,2405:B800:1::8/127,PLDT Sampaloc P1 PLDT Tambo P1,PLDT Tambo,P-1,PRQ06653CIBP001,GMM,0/0/0/0,,Bundle-Ether32,10.205.192.18/30,2405:B800:1::9/127,1000,,,YES,,,YES,,,NCS4K,PHASE 1,,,,,,,
SPC00E67CIBP001,PLDT Sampaloc,P-1,GMM,0/0/0/1,,,Bundle-Ether35,10.205.192.210/30,2405:B800:1::89/127,,PLDT Sampaloc,PE-1,SPC00E67CIBE001,GMM,0/0/0/0,,Bundle-Ether31,10.205.192.209/30,2405:B800:1::88/127,1000,,,,,,YES,,,,PHASE 1,,,,,,,
SPC00E67CIBP001,PLDT Sampaloc,P-1,GMM,0/0/0/34,,,Bundle-Ether37,,,,PLDT Sampaloc,ASBR-1,SPC00E67CIRO001,GMM,0/0/0/0,,Bundle-Ether36,,,1000,,,,,,YES,,,DO NOT USE IP ADDRESS,PHASE 1,,,,,,,
SPC00E67CIBP001,PLDT Sampaloc,P-1,GMM,0/0/0/2,,,Bundle-Ether39,,,,PLDT Sampaloc,ASBR-2,SPC00E67CIRO002,GMM,0/0/0/0,,Bundle-Ether36,,,1000,,,,,,YES,,,DO NOT USE IP ADDRESS,PHASE 1,,,,,,,
SPC00E67CIBP001,PLDT Sampaloc,P-1,GMM,0/0/0/33,,,Bundle-Ether41,10.205.194.14/30,2405:B800:1::127/127,,PLDT Clark,PE-2,CKLN8004CIBE002,NL,0/7/0/0,,Bundle-Ether32,10.205.194.13/30,2405:B800:1::126/127,1000,,,YES,,,YES,,,NCS4K,PHASE 1,,,,,,,
SPC00E67CIBP001,PLDT Sampaloc,P-1,GMM,0/0/0/3,,,Bundle-Ether43,10.205.194.46/30,2405:B800:1::137/127,,PLDT Malolos,PE-2,MLLN3874CIBE002,NL,0/7/0/0,,Bundle-Ether32,10.205.194.45/30,2405:B800:1::136/127,1000,,,YES,,,YES,,,NCS4K,PHASE 1,,,,,,,
SPC00E67CIBP001,PLDT Sampaloc,P-1,GMM,0/0/0/32,,,Bundle-Ether45,10.205.194.78/30,2405:B800:1::147/127,,SMART 554 PLARIDEL,PE-2,PLA00554CIBE002,NL,0/7/0/0,,Bundle-Ether32,10.205.194.77/30,2405:B800:1::146/127,1000,,,YES,,,YES,,,NCS4K,PHASE 1,,,,,,,
SPC00E67CIBP001,PLDT Sampaloc,P-1,GMM,0/0/0/4,,,Bundle-Ether47,10.205.195.78/30,2405:B800:1::1C7/127,,PLDT Binakayan,PE-2,KAWS0016CIBE002,NL,0/7/0/0,,Bundle-Ether32,10.205.195.77/30,2405:B800:1::1C6/127,1000,,,YES,,,YES,,,NCS4K,PHASE 1,,,,,,,
SPC00E67CIBP001,PLDT Sampaloc,P-1,GMM,0/1/0/0,,,Bundle-Ether33,10.205.192.74/30,2405:B800:1::25/127,PLDT Sampaloc P1 PLDT SFU P1,PLDT SFU,P-1,SFUN3814CIBP001,NL,0/1/0/0,,Bundle-Ether32,10.205.192.73/30,2405:B800:1::24/127,1000,,,YES,,,YES,,,NCS4K,PHASE 1,,,,,,,
SPC00E67CIBP001,PLDT Sampaloc,P-1,GMM,0/1/0/35,,,Bundle-Ether34,10.205.192.138/30,2405:B800:1::45/127,PLDT Sampaloc P1 PLDT Lucena P1,PLDT Lucena,P-1,LCN04117CIBP001,SL,0/1/0/0,,Bundle-Ether32,10.205.192.137/30,2405:B800:1::44/127,1000,,,YES,,,YES,,,NCS4K,PHASE 1,,,,,,,
SPC00E67CIBP001,PLDT Sampaloc,P-1,GMM,0/1/0/1,,,Bundle-Ether36,10.205.192.218/30,2405:B800:1::8D/127,,PLDT Sampaloc,PE-2,SPC00E67CIBE002,GMM,0/0/0/0,,Bundle-Ether31,10.205.192.217/30,2405:B800:1::8C/127,1000,,,,,,YES,,,,PHASE 1,,,,,,,
SPC00E67CIBP001,PLDT Sampaloc,P-1,GMM,0/1/0/34,,,Bundle-Ether37,10.205.193.86/30,2405:B800:1::CB/127,,PLDT Sampaloc,ASBR-1,SPC00E67CIRO001,GMM,0/7/0/0,,Bundle-Ether36,10.205.193.85/30,2405:B800:1::CA/127,1000,,,,,,YES,,,,PHASE 1,,,,,,,
SPC00E67CIBP001,PLDT Sampaloc,P-1,GMM,0/1/0/2,,,Bundle-Ether39,10.205.193.102/30,2405:B800:1::D3/127,,PLDT Sampaloc,ASBR-2,SPC00E67CIRO002,GMM,0/7/0/0,,Bundle-Ether36,10.205.193.101/30,2405:B800:1::D2/127,1000,,,,,,YES,,,,PHASE 1,,,,,,,
SPC00E67CIBP001,PLDT Sampaloc,P-1,GMM,0/1/0/33,,,Bundle-Ether42,10.205.194.30/30,2405:B800:1::12F/127,,PLDT Subic,PE-2,SUB00527CIBE002,NL,0/7/0/0,,Bundle-Ether32,10.205.194.29/30,2405:B800:1::12E/127,1000,,,YES,,,YES,,,NCS4K,PHASE 1,,,,,,,
SPC00E67CIBP001,PLDT Sampaloc,P-1,GMM,0/1/0/3,,,Bundle-Ether44,10.205.194.62/30,2405:B800:1::13F/127,,PLDT SFP,PE-2,SFPN3827CIBE0002,NL,0/7/0/0,,Bundle-Ether32,10.205.194.61/30,2405:B800:1::13E/127,1000,,,YES,,,YES,,,NCS4K,PHASE 1,,,,,,,
SPC00E67CIBP001,PLDT Sampaloc,P-1,GMM,0/1/0/32,,,Bundle-Ether46,10.205.194.94/30,2405:B800:1::14F/127,,SMART 6114 Baliuag,PE-2,BAL06114CIBE002,NL,0/7/0/0,,Bundle-Ether32,10.205.194.93/30,2405:B800:1::14E/127,1000,,,YES,,,YES,,,NCS4K,PHASE 1,,,,,,,
SPC00E67CIBP002,PLDT Sampaloc,P-2,GMM,0/0/0/0,,,Bundle-Ether31,10.205.192.6/30,2405:B800:1::3/127,PLDT Sampaloc P2 PLDT Jupiter P2,PLDT Jupiter,P-2,MKTG3610CIBP002,GMM,0/0/0/0,,Bundle-Ether31,10.205.192.5/30,2405:B800:1::2/127,1000,,,YES,,,YES,,,NCS4K,PHASE 1,,,,,,,
SPC00E67CIBP002,PLDT Sampaloc,P-2,GMM,0/0/0/35,,,Bundle-Ether32,10.205.192.21/30,2405:B800:1::A/127,PLDT Sampaloc P2 PLDT Tambo P2,PLDT Tambo,P-2,PRQ06653CIBP002,GMM,0/0/0/0,,Bundle-Ether32,10.205.192.22/30,2405:B800:1::B/127,1000,,,YES,,,YES,,,NCS4K,PHASE 1,,,,,,,
SPC00E67CIBP002,PLDT Sampaloc,P-2,GMM,0/0/0/1,,,Bundle-Ether35,10.205.192.214/30,2405:B800:1::8B/127,,PLDT Sampaloc,PE-1,SPC00E67CIBE001,GMM,0/7/0/0,,Bundle-Ether32,10.205.192.213/30,2405:B800:1::8A/127,1000,,,,,,YES,,,,PHASE 1,,,,,,,
SPC00E67CIBP002,PLDT Sampaloc,P-2,GMM,0/0/0/34,,,Bundle-Ether37,,,,PLDT Sampaloc,ASBR-1,SPC00E67CIRO001,GMM,0/0/0/1,,Bundle-Ether37,,,1000,,,,,,YES,,,DO NOT USE IP ADDRESS,PHASE 1,,,,,,,
SPC00E67CIBP002,PLDT Sampaloc,P-2,GMM,0/0/0/2,,,Bundle-Ether39,,,,PLDT Sampaloc,ASBR-2,SPC00E67CIRO002,GMM,0/0/0/1,,Bundle-Ether37,,,1000,,,,,,YES,,,DO NOT USE IP ADDRESS,PHASE 1,,,,,,,
SPC00E67CIBP002,PLDT Sampaloc,P-2,GMM,0/0/0/33,,,Bundle-Ether41,10.205.194.6/30,2405:B800:1::123/127,,PLDT Clark,PE-1,CKLN8004CIBE001,NL,0/7/0/0,,Bundle-Ether32,10.205.194.5/30,2405:B800:1::122/127,1000,,,YES,,,YES,,,NCS4K,PHASE 1,,,,,,,
SPC00E67CIBP002,PLDT Sampaloc,P-2,GMM,0/0/0/3,,,Bundle-Ether43,10.205.194.38/30,2405:B800:1::133/127,,PLDT Malolos,PE-1,MLLN3874CIBE001,NL,0/7/0/0,,Bundle-Ether32,10.205.194.37/30,2405:B800:1::132/127,1000,,,YES,,,YES,,,NCS4K,PHASE 1,,,,,,,
SPC00E67CIBP002,PLDT Sampaloc,P-2,GMM,0/0/0/32,,,Bundle-Ether45,10.205.194.70/30,2405:B800:1::143/127,,SMART 554 PLARIDEL,PE-1,PLA00554CIBE001,NL,0/7/0/0,,Bundle-Ether32,10.205.194.69/30,2405:B800:1::142/127,1000,,,YES,,,YES,,,NCS4K,PHASE 1,,,,,,,
SPC00E67CIBP002,PLDT Sampaloc,P-2,GMM,0/0/0/4,,,Bundle-Ether47,10.205.195.70/30,2405:B800:1::1C3/127,,PLDT Binakayan,PE-1,KAWS0016CIBE001,NL,0/7/0/0,,Bundle-Ether32,10.205.195.69/30,2405:B800:1::1C2/127,1000,,,YES,,,YES,,,NCS4K,PHASE 1,,,,,,,
SPC00E67CIBP002,PLDT Sampaloc,P-2,GMM,0/1/0/0,,,Bundle-Ether33,10.205.192.78/30,2405:B800:1::27/127,PLDT Sampaloc P2 PLDT SFU P2,PLDT SFU,P-2,SFUN3814CIBP002,NL,0/1/0/0,,Bundle-Ether32,10.205.192.77/30,2405:B800:1::26/127,1000,,,YES,,,YES,,,NCS4K,PHASE 1,,,,,,,
